X,Y,name,ele,addr:city,addr:street,addr:housenumber
6.99390513195248,47.1647119534148,La Jonquille,1254,Mont-Soleil,Mont-Soleil,159
7.25206088641699,46.5493165505586,Grubenberghütte,1841,Schönried,Grubenbergweg,4
7.1964122,46.65355805,Les Mossettes,1066,Cerniat FR,Route des Echelettes,10
7.19029181196832,46.672057557161,Le Bi Gîte,1628,Cerniat FR,Le Bi Gîto,253
7.18724203371772,46.6970617498844,Gros Cousimbert,1572,La Roche FR,Le Gros Cousimbert,396
7.21032183965527,46.6665303995312,Parc des Fayes,1551,Cerniat FR,Parc des Fayes,262
7.22693124517418,46.6673622498517,Auta Chia,1459,Cerniat FR,Route de l'Auta Chia,30
7.24304019803742,46.6541438999945,La Balisa,1415,Schwarzsee,La Balisaz,199
7.21718525,46.6992516,Chäserli,1057,Plasselb,Poffets Vorschis,123
7.23463064778532,46.7134562000503,Buntschli,1025,Plasselb,Buntschli,98
7.32957320317578,46.7009717583259,Stoss,1514,Schwarzsee,Stoss,23
7.34597555962668,46.6946578502474,Bödeli,1106,Sangernboden,Bödeli,30
7.40580930748119,46.6107094001386,Niderhornhütte,1394,Boltigen,Lochmoos,903
7.43231693831588,46.5862956772468,Ski- und Ferienhaus Obergestelen,1796,Zweisimmen,Obergestele,999a
7.43975065,46.71805615,Untere Gantrischhütte,1510,Sangernboden,Untere Gantrischhütte,59
7.45062316569715,46.7561846494552,Stockhütte,1264,Rüti bei Riggisberg,Stockhütte,1
7.8627122864213,46.5700504016801,Schilthornhütte,2432,Mürren,Engital,925b
7.96065698925829,46.5893756441046,Berghaus Grindelwaldblick,2109,Grindelwald,Rotstoecki,354e
7.14896836032277,47.1352100868217,Bergerie du Haut,1314,Lamboing,Mont Sujet,89
7.15785342051423,47.1607111987507,Jurahaus,1322,Les Prés-d'Orvin,Les Plans-Dessus,267
7.26629107188165,47.2154379510205,Cabane La Rochette,1280,Malleray,Chemin des Marguerites,14
7.38201130508496,47.2831715032177,Cabane des Gorges,520,Moutier,Rue des Gorges,30
